Razon Social,RUT,Tipo CFE,Serie,Numero,Fecha de Emision,Moneda,TC,Monto No Gravado,Monto Exportacion y Asimilados,Monto Impuesto Percibido,Monto  IVA en suspenso,Neto Iva Tasa Basica,Neto Iva Tasa Minima,Neto Iva Otra Tasa,Monto Total,Monto Retenido,Monto Credito Fiscal,Monto No facturable,Monto Total a Pagar,Iva Tasa Basica,Iva Tasa Minima,Iva Otra Tasa,h_source_url
CONTROL MONITOR SYSTEMS S A,214149680018,e-Factura,A,500002,27/06/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","2.898,14","0,00","0,00","3.535,73","0,00","0,00","0,27","3.536,00","637,59","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2063904589,14,1"
RONDANELS S.A.,218142870019,e-Factura,A,15321,01/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","614,76","0,00","0,00","750,01","0,00","0,00","-0,01","750,00","135,25","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2066764213,1,2"
SIBEL S A,211561460017,e-Factura,A,62774,01/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","1.434,45","0,00","0,00","1.749,89","0,00","0,00","0,11","1.750,00","315,55","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2066914083,33,3"
KAIBIL SECURITY SRL,217087990013,e-Factura,A,36826,01/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","2.678,81","0,00","0,00","3.268,15","0,00","0,00","-0,15","3.268,00","589,34","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2066954305,106,4"
RONDANELS S.A.,218142870019,e-Factura,A,15411,03/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","750,00","750,00","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2069174275,1,5"
MENDIOROZ Y POSADA SRL,216224460012,e-Factura,A,26968,02/07/2025 ,USD,"40,040","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","103,70","103,70","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2068126705,5,6"
DELIVERY HERO URUGUAY MARKETPLACE S.A.,216639270017,e-Factura,A,2532618,04/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","53,28","0,00","0,00","65,00","0,00","0,00","0,00","65,00","11,72","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2069679425,1,7"
SASSO SILVA RICHARD GERARDO,213591470017,e-Factura,A,17030,07/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","1.590,00","0,00","0,00","1.939,80","0,00","0,00","0,20","1.940,00","349,80","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2071959022,1,8"
SUPRAMAR SOCIEDAD ANONIMA,212685730014,e-Factura,A,129007,07/07/2025 ,USD,"40,138","0,00","250,00","0,00","0,00","0,00","0,00","0,00","250,00","0,00","0,00","0,00","250,00","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072183760,1,9"
ADMINISTRACION NACIONAL DE USINAS Y TRASMISIONES E,210778720012,e-Factura,B,7176121,07/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","625,96","0,00","0,00","763,67","0,00","0,00","0,33","764,00","137,71","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072329085,160,10"
